label,country,state,county,Event Start Date,Site.Ownership,Site.Access,Site.Classification,Site.Use,Survey.Class,Survey.Season,ANPA,CORA,COTO,COTOi,COTOp,COTOv,EPFU,LABO,LANO,MYAU,MYCA,MYCI,MYEV,MYGR,MYLU,MYSE,MYSO,MYSP,MYVE,PESU,TABR,UNKN,Total.Live,Total.Dead,Total.Bat.Count,vulnerable_c,vulnerable_p,Total.Species,h.density50,type,Event Type,Public,Number Affected,Event End Date,Species,release_date,status_season
Suspect,USA,WI,Vernon,2/1/17,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,7,0,7,7,2,2,20.88435364,cave,,,,,,,
Suspect,USA,WI,Washington,2/7/17,redacted,Gated-seasonal,other-beer cave,Hibernaculum,Active,2016-17,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,35,0,35,19,1,2,93.00628662,cave,,,,,,,
Suspect,USA,WI,Richland,2/17/17,redacted,Open-all year,Cave-undeveloped,Hibernaculum,Active,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,6,0,6,6,3,3,7.819767475,cave,,,,,,,
Suspect,USA,WI,Pepin,1/24/18,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2017-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0,0,24,0,24,24,2,2,11.67507935,cave,,,,,,,
Pd not detected,USA,WV,PENDLETON,2/11/14,Private,Gated-seasonal,Cave-undeveloped,Hibernaculum,Active,2013-14,0,0,0,0,0,399,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,400,0,400,1,1,2,1.949943185,cave,,,,,,,
Suspect,USA,WV,PENDLETON,3/4/14,Private,Gated-all year,Cave-undeveloped,Hibernaculum,Active,2013-14,0,0,0,0,0,649,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,655,0,655,1,1,3,3.174823523,cave,,,,,,,
Pd not detected,USA,WY,JOHNSON,4/14/14,redacted,NR,Cave-recreational,Hibernaculum,Active,2013-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,,0,0,0,0.088269532,cave,,,,,,,
Pd not detected,USA,WY,SHERIDAN,4/15/14,redacted,Open-all year,Cave-recreational,Hibernaculum,Active,2013-14,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,18,0,18,0,0,3,3.790967703,cave,,,,,,,
Pd not detected,USA,WY,Carbon,1/15/15,redacted,Gated-seasonal,Cave-recreational,Hibernaculum,Active,2014-15,0,0,11,0,0,0,0,0,0,0,0,15,12,0,6,0,0,14,0,0,0,0,58,0,58,6,1,5,0.154200271,cave,,,,,,,
Pd not detected,USA,WY,Big Horn,1/29/15,redacted,Gated-all year,Cave-recreational,Hibernaculum,Active,2014-15,0,0,47,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,51,0,51,0,0,3,0.722653389,cave,,,,,,,
Pd not detected,USA,WY,PLATTE,1/5/16,redacted,Gated-all year,Cave-undeveloped,Hibernaculum,Active,2015-16,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,2,1.034851909,cave,,,,,,,
Pd not detected,USA,WY,Fremont,11/16/16,redacted,NR,NR,Hibernaculum,Active,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,1,0.136482909,,,,,,,,
Pd not detected,USA,WY,Platte,12/15/16,redacted,Open-seasonal/restricted,Mine-inactive,Hibernaculum,Active,2016-17,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,21,0,21,2,1,3,1.110368609,mine,,,,,,,
Pd not detected,USA,WY,Sheridan,1/10/17,redacted,Open-all year,Cave-undeveloped,Hibernaculum,Active,2016-17,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,4,0,0,2,3.577040434,cave,,,,,,,
Pd not detected,USA,WY,Sheridan,1/12/17,redacted,Open-all year,Cave-recreational,Hibernaculum,Active,2016-17,0,0,11,0,0,0,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,23,0,23,0,0,4,3.800697327,cave,,,,,,,
Pd not detected,USA,WY,Crook,4/5/17,redacted,Open-all year,Rock crevice,Hibernaculum,Active,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,,0,0,0,0.821089029,,,,,,,,
Pd not detected,USA,WY,Sheridan,1/17/18,redacted,Open-all year,Cave-undeveloped,Hibernaculum,Active,2017-18,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,6,0,6,0,0,3,4.636088371,cave,,,,,,,
Pd not detected,USA,WY,Sheridan,1/15/19,redacted,Open-all year,Cave-undeveloped,Hibernaculum,Active,2018-19,0,0,11,0,0,0,3,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,31,0,31,2,1,4,3.800697327,cave,,,,,,,
Pd not detected,USA,WY,Carbon,12/12/19,redacted,Gated-seasonal,Cave-recreational,Hibernaculum,Active,2019-20,0,0,16,0,0,0,0,0,0,0,0,15,0,0,12,0,0,22,0,0,0,0,65,0,65,12,1,4,0.154200271,cave,,,,,,,
Pd not detected,USA,WY,Sheridan,2/19/20,redacted,Gated-seasonal,Cave-recreational,Hibernaculum,Active,2019-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.577040434,cave,,,,,,,
White-nose Syndrome,United States,Colorado,"Otero County, CO",3/29/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality/Morbidity,TRUE,1,3/29/23,Yuma Bat,,
White-nose Syndrome,United States,Wyoming,"Sheridan County, WY",6/9/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surveillance,TRUE,,6/9/22,Little Brown Bat,,
White-nose Syndrome,United States,Wyoming,"Carbon County, WY",6/4/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality/Morbidity,TRUE,2,6/4/22,Unidentified Myotis; Long-legged Bat,,
